battery_id,framework_formula,id_charge,id_discharge,charge_file,discharge_file,charge_status,discharge_status
BAT_00015,Al3Cr3(SbO8)2,mp-756662,mp-770625,BAT_00015_mp-756662.cif,BAT_00015_mp-770625.cif,downloaded,downloaded
BAT_00017,Al2FeO6,mp-755069,mp-770727,BAT_00017_mp-755069.cif,BAT_00017_mp-770727.cif,downloaded,downloaded
BAT_00020,AlVO4,mp-769572,mp-755460,BAT_00020_mp-769572.cif,BAT_00020_mp-755460.cif,downloaded,downloaded
BAT_00022,MnBAsO7,mp-772182,mp-771037,BAT_00022_mp-772182.cif,BAT_00022_mp-771037.cif,downloaded,downloaded
BAT_00023,FeBAsO7,mp-1177952,mp-771029,BAT_00023_mp-1177952.cif,BAT_00023_mp-771029.cif,downloaded,downloaded
BAT_00025,CrAsCO7,mp-768612,mp-773176,BAT_00025_mp-768612.cif,BAT_00025_mp-773176.cif,downloaded,downloaded
BAT_00027,FeAsCO7,mp-770902,mp-770939,BAT_00027_mp-770902.cif,BAT_00027_mp-770939.cif,downloaded,downloaded
BAT_00028,MnAsCO7,mp-770905,mp-771034,BAT_00028_mp-770905.cif,BAT_00028_mp-771034.cif,downloaded,downloaded
BAT_00029,VAsCO7,mp-756295,mp-772133,BAT_00029_mp-756295.cif,BAT_00029_mp-772133.cif,downloaded,downloaded
BAT_00030,CoAsO4,mp-1213775,mp-20046,BAT_00030_mp-1213775.cif,BAT_00030_mp-20046.cif,downloaded,downloaded
BAT_00031,FeAs2O7,mp-25260,mp-18878,BAT_00031_mp-25260.cif,BAT_00031_mp-18878.cif,downloaded,downloaded
BAT_00033,Fe2(AsO4)3,mp-543107,mp-542008,BAT_00033_mp-543107.cif,BAT_00033_mp-542008.cif,downloaded,downloaded
BAT_00037,NiAsO4,mp-510749,mp-22243,BAT_00037_mp-510749.cif,BAT_00037_mp-22243.cif,downloaded,downloaded
BAT_00038,MnAsO4,mp-510755,mp-20052,BAT_00038_mp-510755.cif,BAT_00038_mp-20052.cif,downloaded,downloaded
BAT_00039,VAs2O9,mp-1177474,mp-1177164,BAT_00039_mp-1177474.cif,BAT_00039_mp-1177164.cif,downloaded,downloaded
BAT_00040,VAsO5,mp-510763,mp-17387,BAT_00040_mp-510763.cif,BAT_00040_mp-17387.cif,downloaded,downloaded
