battery_id,framework_formula,graph_file,status,num_atoms,num_edges
BAT_00015,Al3Cr3(SbO8)2,BAT_00015.pt,existing,24,1160
BAT_00017,Al2FeO6,BAT_00017.pt,existing,9,436
BAT_00020,AlVO4,BAT_00020.pt,existing,36,1580
BAT_00022,MnBAsO7,BAT_00022.pt,existing,20,692
BAT_00023,FeBAsO7,BAT_00023.pt,existing,20,640
BAT_00025,CrAsCO7,BAT_00025.pt,existing,20,684
BAT_00027,FeAsCO7,BAT_00027.pt,existing,20,632
BAT_00028,MnAsCO7,BAT_00028.pt,existing,20,664
BAT_00029,VAsCO7,BAT_00029.pt,existing,40,1254
BAT_00030,CoAsO4,BAT_00030.pt,existing,24,928
BAT_00031,FeAs2O7,BAT_00031.pt,existing,10,390
BAT_00033,Fe2(AsO4)3,BAT_00033.pt,existing,68,2408
BAT_00037,NiAsO4,BAT_00037.pt,existing,24,992
BAT_00038,MnAsO4,BAT_00038.pt,existing,24,848
BAT_00039,VAs2O9,BAT_00039.pt,existing,48,1416
BAT_00040,VAsO5,BAT_00040.pt,existing,28,1040
BAT_00048,CrB3(HO3)3,BAT_00048.pt,existing,128,5344
BAT_00051,CoBO3,BAT_00051.pt,existing,20,808
BAT_00052,Mn2Fe(BO3)4,BAT_00052.pt,existing,38,1472
BAT_00053,Cr(BO3)2,BAT_00053.pt,existing,36,1390
BAT_00055,FeBO3,BAT_00055.pt,existing,40,1528
BAT_00056,FeBO3,BAT_00056.pt,existing,20,778
BAT_00058,FeBO3,BAT_00058.pt,existing,40,1540
BAT_00059,FeBO3,BAT_00059.pt,existing,40,1532
BAT_00060,FeBO3,BAT_00060.pt,existing,40,1552
BAT_00061,FeBO3,BAT_00061.pt,existing,40,1542
BAT_00062,FeBO4,BAT_00062.pt,existing,24,776
BAT_00063,Fe(BO3)2,BAT_00063.pt,existing,36,1284
BAT_00064,Fe3(BO3)4,BAT_00064.pt,existing,38,1460
BAT_00065,FeBPO7,BAT_00065.pt,existing,20,740
BAT_00067,MnBO3,BAT_00067.pt,existing,20,748
BAT_00069,MnBO3,BAT_00069.pt,existing,15,588
BAT_00070,MnBO3,BAT_00070.pt,existing,20,744
BAT_00071,MnBO3,BAT_00071.pt,existing,20,744
BAT_00072,MnBO3,BAT_00072.pt,existing,20,772
BAT_00073,MnBO3,BAT_00073.pt,existing,30,1140
BAT_00074,MnBO3,BAT_00074.pt,existing,30,1136
BAT_00075,Mn3(BO3)4,BAT_00075.pt,existing,38,1460
BAT_00077,MnBO3,BAT_00077.pt,existing,20,760
BAT_00078,MnBO3,BAT_00078.pt,existing,30,1136
BAT_00079,MnBO3,BAT_00079.pt,existing,40,1556
BAT_00080,MnBO3,BAT_00080.pt,existing,40,1530
BAT_00081,Mn(BO3)2,BAT_00081.pt,existing,36,1436
BAT_00082,MnBO3,BAT_00082.pt,existing,40,1534
BAT_00083,MnBO3,BAT_00083.pt,existing,30,1150
BAT_00085,MnBO3,BAT_00085.pt,existing,60,2320
BAT_00086,MnBO3,BAT_00086.pt,existing,40,1518
BAT_00088,MnBO3,BAT_00088.pt,existing,60,2352
BAT_00089,MnBO3,BAT_00089.pt,existing,60,2332
BAT_00090,MnBO3,BAT_00090.pt,existing,40,1490
BAT_00091,MnBO3,BAT_00091.pt,existing,30,1142
BAT_00092,MnBO3,BAT_00092.pt,existing,30,1128
BAT_00093,MnBO3,BAT_00093.pt,existing,30,1144
BAT_00094,MnBO3,BAT_00094.pt,existing,20,752
BAT_00095,MnBO3,BAT_00095.pt,existing,30,1142
BAT_00097,MnBO3,BAT_00097.pt,existing,30,1136
BAT_00099,MnBO3,BAT_00099.pt,existing,40,1494
BAT_00100,MnBO3,BAT_00100.pt,existing,30,1138
