battery_id,battery_formula,framework_formula,formula_charge,formula_discharge,working_ion,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,num_steps,nelements,chemsys,elements,id_charge,id_discharge,material_ids,warnings,element_list,has_transition_metal,oxide,sulfide,fluoride,phosphate_possible,silicate_possible,has_main_transition_metal,max_stability
BAT_00015,Li0-4Al3Cr3(SbO8)2,Al3Cr3(SbO8)2,Al3Cr3(SbO8)2,Li4Al3Cr3(SbO8)2,Li,4.556347028333332,140.28382398986653,624.8366037039292,639.1817845594645,2846.9724024802895,0.05445090810899,0.13042983057292,0.002027248035712,1,4,Al-Cr-O-Sb,"Al,Cr,Sb,O",mp-756662,mp-770625,"mp-756662,mp-770625",More than one working ion per transition metal,"['Al', 'Cr', 'Sb', 'O']",True,True,False,False,False,False,True,0.13042983057292
BAT_00017,Li1-3Al2FeO6,Al2FeO6,LiAl2FeO6,Li3Al2FeO6,Li,4.128403602083336,236.52455100765593,850.7126382408852,976.4688083611504,3512.085120051488,0.004728772679465,0.132898493949996,0.020887583749999,2,3,Al-Fe-O,"Al,Fe,O",mp-755069,mp-770727,"mp-755069,mp-768173,mp-770727",More than one working ion per transition metal,"['Al', 'Fe', 'O']",True,True,False,False,False,False,True,0.132898493949996
BAT_00020,Li1-2AlVO4,AlVO4,LiAlVO4,Li2AlVO4,Li,2.8414990516666783,172.0219977414676,622.2635644757885,488.8003434481875,1768.1613283446795,0.007314828338257,0.089042806309516,0.024599422395833,1,3,Al-O-V,"Al,V,O",mp-769572,mp-755460,"mp-769572,mp-755460",More than one working ion per transition metal,"['Al', 'V', 'O']",True,True,False,False,False,False,True,0.089042806309516
BAT_00022,Li2-3MnBAsO7,MnBAsO7,Li2MnBAsO7,Li3MnBAsO7,Li,3.519553073333331,97.99822858013364,302.8504861211508,344.90996658043167,1065.89835918819,0.016520414441825,0.079758656101186,0.091414645041212,1,4,As-B-Mn-O,"Mn,B,As,O",mp-772182,mp-771037,"mp-772182,mp-771037",More than one working ion per transition metal,"['Mn', 'B', 'As', 'O']",True,True,False,False,False,False,True,0.091414645041212
BAT_00023,Li2-3FeBAsO7,FeBAsO7,Li2FeBAsO7,Li3FeBAsO7,Li,4.017984108333327,97.67431768552318,309.4101890882222,392.453856252733,1243.2052227128866,0.04286264073662,0.092499285863095,0.091581478835162,1,4,As-B-Fe-O,"Fe,B,As,O",mp-1177952,mp-771029,"mp-1177952,mp-771029",More than one working ion per transition metal,"['Fe', 'B', 'As', 'O']",True,True,False,False,False,False,True,0.092499285863095
BAT_00025,Li1-2CrAsCO7,CrAsCO7,LiCrAsCO7,Li2CrAsCO7,Li,4.493169558333339,101.21168290381378,305.2953596568236,454.761252571103,1371.7438163104682,0.011719696153955,0.069573240673408,0.026140855555552,1,4,As-C-Cr-O,"Cr,As,C,O",mp-768612,mp-773176,"mp-768612,mp-773176",More than one working ion per transition metal,"['Cr', 'As', 'C', 'O']",True,True,False,False,False,False,True,0.069573240673408
BAT_00027,Li1-3FeAsCO7,FeAsCO7,LiFeAsCO7,Li3FeAsCO7,Li,3.79779738333333,194.4982613713611,609.0945884148789,738.6649880990375,2313.217834084519,0.053430317392643,0.067163670454545,0.048485174615382,2,4,As-C-Fe-O,"Fe,As,C,O",mp-770902,mp-770939,"mp-770902,mp-771027,mp-770939",More than one working ion per transition metal,"['Fe', 'As', 'C', 'O']",True,True,False,False,False,False,True,0.067163670454545
BAT_00028,Li1-3MnAsCO7,MnAsCO7,LiMnAsCO7,Li3MnAsCO7,Li,3.629206873333335,195.14044608762313,589.8054189591389,708.205048206535,2140.5258804157547,0.016056593070193,0.04304795886363,0.060420901153847,2,4,As-C-Mn-O,"Mn,As,C,O",mp-770905,mp-771034,"mp-770905,mp-771151,mp-771034",More than one working ion per transition metal,"['Mn', 'As', 'C', 'O']",True,True,False,False,False,False,True,0.060420901153847
BAT_00029,Li1-2VAsCO7,VAsCO7,LiVAsCO7,Li2VAsCO7,Li,3.292125393333326,101.61637368404172,301.1517705734362,334.5338441836821,991.4293911521012,0.068261973663813,0.048049886136371,0.039084548958338,1,4,As-C-O-V,"V,As,C,O",mp-756295,mp-772133,"mp-756295,mp-772133",More than one working ion per transition metal,"['V', 'As', 'C', 'O']",True,True,False,False,False,False,True,0.048049886136371
BAT_00030,Li0-1CoAsO4,CoAsO4,CoAsO4,LiCoAsO4,Li,4.520946918333334,130.87082786709936,559.2803593714077,591.6600659454951,2528.4768171845253,0.047159454681764,0.110549962916667,0.002541872619049,1,3,As-Co-O,"Co,As,O",mp-1213775,mp-20046,"mp-1213775,mp-20046,mp-1285020",,"['Co', 'As', 'O']",True,True,False,False,False,False,True,0.110549962916667
