battery_id,battery_formula,framework_formula,formula_charge,formula_discharge,working_ion,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,num_steps,nelements,chemsys,elements,id_charge,id_discharge,material_ids,warnings
BAT_00001,Li0-2AgAsF6,AgAsF6,AgAsF6,Li2AgAsF6,Li,1.689714708333331,172.54419423373443,520.0006314872243,291.55046283426424,878.6527153665833,0.133719155690352,0.0,0.42078230195833305,1,3,Ag-As-F,"Ag,As,F",mp-37153,mp-1111365,"mp-37153,mp-1111365",More than one working ion per transition metal
BAT_00002,Li0-1CsAcO3,CsAcO3,CsAcO3,CsLiAcO3,Li,2.147050163333337,64.60606644586682,371.64186647871196,138.71246551492277,797.9337301246248,0.036626417789054004,0.21955931,0.30064717833333005,1,3,Ac-Cs-O,"Cs,Ac,O",mp-1183923,mp-1236215,"mp-1183923,mp-1236215",
BAT_00003,Li0-3Ag,Ag,Ag,Li3Ag,Li,0.21056543666666602,624.785870642994,1984.8162285987214,131.55830967510573,417.9336958779768,2.736089112284999,0.0036091633333330004,0.0,1,1,Ag,Ag,mp-124,mp-865875,"mp-124,mp-865875",More than one working ion per transition metal
BAT_00004,Li0-1AgClO4,AgClO4,AgClO4,LiAgClO4,Li,1.5458820933333342,125.08870607255253,341.0697949811628,193.3723907957956,527.253688638251,0.317804851549746,0.11659305666666601,0.45127765026785505,1,3,Ag-Cl-O,"Ag,Cl,O",mp-551758,mp-1235767,"mp-551758,mp-1235767,mp-1235058,mp-1236209",
BAT_00005,Li1-2AgF4,AgF4,LiAgF4,Li2AgF4,Li,5.052496508333335,135.53638298898974,532.9991994302926,684.7971018040004,2692.9765940660163,0.05403225841189,0.039348144999996004,0.034513521428572,1,2,Ag-F,"Ag,F",mp-758054,mp-761269,"mp-758054,mp-761269",More than one working ion per transition metal
BAT_00006,Li0.5-1AgF2,AgF2,LiAg2F4,LiAgF2,Li,4.882004773333329,87.69773445686978,392.0282440438906,428.14075822895705,1913.8837587037572,0.184418083884822,0.118659776428571,0.053544515,1,2,Ag-F,"Ag,F",mp-752948,mp-758604,"mp-752948,mp-758604",
BAT_00007,Li0-1AgF3,AgF3,AgF3,LiAgF3,Li,5.103887114999998,155.99996069812107,686.2634508200697,796.2061893476463,3502.611184135989,0.078737166489472,0.0,0.05629189899999901,1,2,Ag-F,"Ag,F",mp-18536,mp-760151,"mp-18536,mp-760151",
BAT_00008,Li0-0.5HoAg(WO4)2,HoAg(WO4)2,HoAg(WO4)2,LiHo2Ag2(WO4)4,Li,0.6373623433333411,17.359726552110132,136.64595143784703,11.064435994878936,87.0929838154401,0.025880278158456,0.0020856016145830002,0.11425475950832001,1,4,Ag-Ho-O-W,"Ho,Ag,W,O",mp-1212201,mp-1235646,"mp-1212201,mp-1235646",
BAT_00009,Li0-1TaNb(AgO3)2,TaNb(AgO3)2,TaNb(AgO3)2,LiTaNb(AgO3)2,Li,0.7235468433333421,45.23242518736394,328.3908591960602,32.72777846062876,237.6061695508336,0.051324456096997005,0.053872661642857006,0.29934447361472205,1,4,Ag-Nb-O-Ta,"Ta,Nb,Ag,O",mp-1217907,mp-1236593,"mp-1217907,mp-1236593,mp-1235228,mp-1235367",
BAT_00010,Li0-0.25AgRuO3,AgRuO3,AgRuO3,LiAg4(RuO3)4,Li,2.55489157333334,25.902994341826684,163.9625433179502,66.1793419680342,418.90652026533377,0.022206307614682,0.057777262999999,0.084179768333331,1,3,Ag-O-Ru,"Ag,Ru,O",mp-776168,mp-1235400,"mp-776168,mp-1235400,mp-1235873,mp-1235663",
BAT_00011,Li0-1RbAgO2,RbAgO2,RbAgO2,RbLiAgO2,Li,1.7337728633333331,115.38645500462766,558.5858568598221,200.0539044832561,968.4610004653572,0.07264915489496601,0.04847467999999901,0.20669327275000002,1,3,Ag-O-Rb,"Rb,Ag,O",mp-997084,mp-1236284,"mp-997084,mp-1236284",
BAT_00012,Li0-0.5ScAgO2,ScAgO2,ScAgO2,LiSc2(AgO2)2,Li,1.316682863333338,71.16946063244075,356.0527933195467,93.7076092074114,468.80861140581413,0.09711014752333501,0.0,0.172757932592595,1,3,Ag-O-Sc,"Sc,Ag,O",mp-11022,mp-1235223,"mp-11022,mp-1235223,mp-1236728,mp-1235826",
BAT_00013,Li0-0.5Si(AgO)4,Si(AgO)4,Si(AgO)4,LiSi2(AgO)8,Li,1.5313378433333371,25.42707646653364,154.50894104578086,38.93744443853348,236.6053885567638,0.041347400653969,0.01771311444444,0.109143134122807,1,3,Ag-O-Si,"Si,Ag,O",mp-556164,mp-1235565,"mp-556164,mp-1235565",
BAT_00014,Li0-0.5Al2CdO4,Al2CdO4,Al2CdO4,LiAl4Cd2O8,Li,-1.511374616666666,57.306773025896824,279.1476811502012,-86.6120021144185,-421.8967195917743,0.046773201059426006,0.024204920000001,0.287379240499998,1,3,Al-Cd-O,"Al,Cd,O",mp-36866,mp-1235830,"mp-36866,mp-1235830,mp-1235214,mp-1235144",
BAT_00015,Li0-4Al3Cr3(SbO8)2,Al3Cr3(SbO8)2,Al3Cr3(SbO8)2,Li4Al3Cr3(SbO8)2,Li,4.556347028333332,140.28382398986653,624.8366037039292,639.1817845594645,2846.9724024802895,0.054450908108990004,0.13042983057292,0.0020272480357120004,1,4,Al-Cr-O-Sb,"Al,Cr,Sb,O",mp-756662,mp-770625,"mp-756662,mp-770625",More than one working ion per transition metal
BAT_00016,Li0-1Al2Cu,Al2Cu,Al2Cu,LiAl2Cu,Li,0.21214405333333303,215.35929706409124,818.1548397372413,45.68719420219386,173.56668395614255,0.133198318060577,0.0,0.008947646499999,1,2,Al-Cu,"Al,Cu",mp-985806,mp-1185307,"mp-985806,mp-1185307",
BAT_00017,Li1-3Al2FeO6,Al2FeO6,LiAl2FeO6,Li3Al2FeO6,Li,4.128403602083336,236.52455100765593,850.7126382408852,976.4688083611504,3512.085120051488,0.004728772679465001,0.132898493949996,0.020887583749999,2,3,Al-Fe-O,"Al,Fe,O",mp-755069,mp-770727,"mp-755069,mp-768173,mp-770727",More than one working ion per transition metal
