battery_id,battery_formula,framework_formula,formula_charge,formula_discharge,working_ion,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,num_steps,nelements,chemsys,elements,id_charge,id_discharge,material_ids,warnings,element_list,has_transition_metal,oxide,sulfide,fluoride,phosphate_possible,silicate_possible,has_main_transition_metal,max_stability,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,normalized_delta_li,relative_delta_li,capacity_physics,endpoint_delta_abs,volume_residual,voltage_oof_pred,oof_fold,voltage_oof_error
BAT_00015,Li0-4Al3Cr3(SbO8)2,Al3Cr3(SbO8)2,Al3Cr3(SbO8)2,Li4Al3Cr3(SbO8)2,Li,4.556347028333332,140.28382398986653,624.8366037039292,639.1817845594645,2846.9724024802895,0.05445090810899,0.13042983057292,0.002027248035712,1,4,Al-Cr-O-Sb,"Al,Cr,Sb,O",mp-756662,mp-770625,"mp-756662,mp-770625",More than one working ion per transition metal,"['Al', 'Cr', 'Sb', 'O']",True,True,False,False,False,False,True,0.13042983057292,8.0,51.0,43.0,14.208333333333334,8.579861111111112,8.0,49.0,87.0,38.0,80.33333333333333,9.66666666666667,87.0,15.9994,121.76,105.7606,30.685138158333334,20.50688410069445,15.9994,54.8,2180.0,2125.2,501.0320833333333,594.9761111111111,54.8,6.0,16.0,10.0,14.291666666666666,2.395833333333334,16.0,2.0,5.0,3.0,2.625,0.8333333333333334,2.0,66.0,139.0,73.0,88.08333333333333,29.444444444444443,66.0,1.61,3.44,1.83,2.872916666666667,0.7561111111111111,3.44,1.0,2.0,1.0,1.875,0.21875,2.0,0.0,4.0,4.0,3.0416666666666665,1.277777777777778,4.0,0.0,10.0,10.0,1.4583333333333333,2.3090277777777772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0,6.375,1.4375,6.0,0.0,1.0,1.0,0.125,0.21875,0.0,0.0,5.0,5.0,2.2083333333333335,0.8298611111111112,2.0,0.0,5.0,5.0,0.625,1.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,2.9583333333333335,1.277777777777778,2.0,9.105,31.56,22.455,12.15875,4.313854166666666,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,78.58333333333333,88.77777777777779,12.0,4,0.6947221666888778,0.6700135513706704,0.6667325207612159,0.6666682639177504,0.6666666738893882,1.875,3.0416666666666665,1.4583333333333333,0.0,4.0,0.1666666666666666,140.283823985054,0.0544509083658009,-2.5681096832430583e-10,3.397063970565796,2,1.159283057767536
BAT_00017,Li1-3Al2FeO6,Al2FeO6,LiAl2FeO6,Li3Al2FeO6,Li,4.128403602083336,236.52455100765593,850.7126382408852,976.4688083611504,3512.085120051488,0.004728772679465,0.132898493949996,0.020887583749999,2,3,Al-Fe-O,"Al,Fe,O",mp-755069,mp-770727,"mp-755069,mp-768173,mp-770727",More than one working ion per transition metal,"['Al', 'Fe', 'O']",True,True,False,False,False,False,True,0.132898493949996,8.0,26.0,18.0,11.11111111111111,4.148148148148148,8.0,55.0,87.0,32.0,80.33333333333333,8.888888888888891,87.0,15.9994,55.845,39.8456,22.867164133333333,9.157018844444444,15.9994,54.8,1811.0,1756.2,445.1933333333333,520.5244444444444,54.8,8.0,16.0,8.0,14.444444444444445,2.074074074074074,16.0,2.0,4.0,2.0,2.4444444444444446,0.5925925925925927,2.0,66.0,132.0,66.0,85.55555555555556,26.074074074074076,66.0,1.61,3.44,1.83,2.854444444444445,0.7807407407407406,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.888888888888889,1.4814814814814814,4.0,0.0,6.0,6.0,0.6666666666666666,1.1851851851851851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.555555555555555,1.1358024691358026,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.4444444444444446,1.1358024691358026,2.0,0.0,4.0,4.0,0.4444444444444444,0.7901234567901234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.888888888888889,1.1851851851851851,2.0,9.105,16.48,7.375,10.924444444444443,2.4691358024691348,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.2345180888888889,0.4169210469135802,0.0,12.0,229.0,217.0,83.44444444444444,95.25925925925924,12.0,3,0.7114582486036499,0.6758002217303778,0.6672315521896236,0.6667105455840667,0.6666677967664446,2.0,2.888888888888889,0.6666666666666666,0.0,2.0,0.2222222222222222,236.52455099954176,0.0047065195705012,2.225310896378663e-05,3.602710247039795,3,0.5256933550435408
BAT_00020,Li1-2AlVO4,AlVO4,LiAlVO4,Li2AlVO4,Li,2.8414990516666783,172.0219977414676,622.2635644757885,488.8003434481875,1768.1613283446795,0.007314828338257,0.089042806309516,0.024599422395833,1,3,Al-O-V,"Al,V,O",mp-769572,mp-755460,"mp-769572,mp-755460",More than one working ion per transition metal,"['Al', 'V', 'O']",True,True,False,False,False,False,True,0.089042806309516,8.0,23.0,15.0,11.333333333333334,4.444444444444445,8.0,46.0,87.0,41.0,77.83333333333333,12.222222222222223,87.0,15.9994,50.9415,34.942099999999996,23.653439766666665,10.205386355555556,15.9994,54.8,2183.0,2128.2,555.945,668.1933333333333,54.8,5.0,16.0,11.0,13.666666666666666,3.111111111111111,16.0,2.0,4.0,2.0,2.5,0.6666666666666666,2.0,66.0,153.0,87.0,89.66666666666667,31.555555555555557,66.0,1.61,3.44,1.83,2.8333333333333335,0.8088888888888888,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.8333333333333335,1.5555555555555554,4.0,0.0,3.0,3.0,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,5.333333333333333,0.888888888888889,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.1666666666666665,0.9444444444444444,2.0,0.0,7.0,7.0,1.1666666666666667,1.9444444444444449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.3333333333333335,1.777777777777778,2.0,9.105,16.48,7.375,10.985,2.5066666666666664,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,83.66666666666667,95.55555555555554,12.0,3,0.7071067811865476,0.6735400034370317,0.6669268801209055,0.6666782918025496,0.666666793823133,2.0,2.8333333333333335,0.5,0.0,1.0,0.1666666666666666,172.02199773556626,0.0072617112004193,5.311713783768407e-05,3.0240604877471924,1,-0.18256143608051412
BAT_00022,Li2-3MnBAsO7,MnBAsO7,Li2MnBAsO7,Li3MnBAsO7,Li,3.519553073333331,97.99822858013364,302.8504861211508,344.90996658043167,1065.89835918819,0.016520414441825,0.079758656101186,0.091414645041212,1,4,As-B-Mn-O,"Mn,B,As,O",mp-772182,mp-771037,"mp-772182,mp-771037",More than one working ion per transition metal,"['Mn', 'B', 'As', 'O']",True,True,False,False,False,False,True,0.091414645041212,5.0,33.0,28.0,11.9,6.840000000000001,8.0,52.0,87.0,35.0,81.7,7.879999999999998,87.0,10.811,74.9216,64.1106,25.2666445,15.8652712,15.9994,54.8,2348.0,2293.2,534.0600000000001,670.964,54.8,7.0,16.0,9.0,14.7,1.8800000000000003,16.0,2.0,4.0,2.0,2.4,0.6399999999999999,2.0,66.0,139.0,73.0,80.4,20.160000000000004,66.0,1.55,3.44,1.89,2.985,0.637,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.2,1.12,4.0,0.0,10.0,10.0,1.5,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0,6.7,1.7200000000000002,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.2,0.7200000000000001,2.0,0.0,5.0,5.0,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.7,0.98,2.0,7.1725,22.175,15.0025,10.35700862069,2.3897137931039993,9.105,0.0,1.524,1.524,0.1524,0.27432,0.0,0.0,0.000310120689655,0.000310120689655,3.10120689655e-05,5.58217241379e-05,0.0,12.0,217.0,205.0,63.3,71.82,12.0,4,0.7211102550927978,0.7020348951682878,0.7000249878036356,0.7000003642791349,0.7000000007434279,2.0,3.2,1.5,0.0,1.0,0.1,97.99822857677177,0.0165204147929897,-3.5116471883145373e-10,4.068550109863281,1,-0.5489970365299501
BAT_00023,Li2-3FeBAsO7,FeBAsO7,Li2FeBAsO7,Li3FeBAsO7,Li,4.017984108333327,97.67431768552318,309.4101890882222,392.453856252733,1243.2052227128866,0.04286264073662,0.092499285863095,0.091581478835162,1,4,As-B-Fe-O,"Fe,B,As,O",mp-1177952,mp-771029,"mp-1177952,mp-771029",More than one working ion per transition metal,"['Fe', 'B', 'As', 'O']",True,True,False,False,False,False,True,0.092499285863095,5.0,33.0,28.0,12.0,7.0,8.0,55.0,87.0,32.0,82.0,7.4,87.0,10.811,74.9216,64.1106,25.35734,16.010384,15.9994,54.8,2348.0,2293.2,563.26,711.844,54.8,8.0,16.0,8.0,14.8,1.7199999999999995,16.0,2.0,4.0,2.0,2.4,0.6399999999999999,2.0,66.0,132.0,66.0,79.7,19.18,66.0,1.83,3.44,1.61,3.013,0.5978,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.2,1.12,4.0,0.0,10.0,10.0,1.6,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0,6.8,1.8799999999999997,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.2,0.7200000000000001,2.0,0.0,4.0,4.0,0.4,0.7200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.6,0.8400000000000001,2.0,7.1725,22.175,15.0025,10.38125,2.4284999999999997,9.105,0.0,1.524,1.524,0.1524,0.27432,0.0,0.0,2.1106628,2.1106628,0.21106628,0.3799193039999999,0.0,12.0,229.0,217.0,64.5,73.5,12.0,4,0.7211102550927978,0.7020348951682878,0.7000249878036356,0.7000003642791349,0.7000000007434279,2.0,3.2,1.6,0.0,1.0,0.1,97.67431768217236,0.0411009449757619,0.001761695760858,4.2474822998046875,4,-0.22949819147136008
BAT_00025,Li1-2CrAsCO7,CrAsCO7,LiCrAsCO7,Li2CrAsCO7,Li,4.493169558333339,101.21168290381378,305.2953596568236,454.761252571103,1371.7438163104682,0.011719696153955,0.069573240673408,0.026140855555552,1,4,As-C-Cr-O,"Cr,As,C,O",mp-768612,mp-773176,"mp-768612,mp-773176",More than one working ion per transition metal,"['Cr', 'As', 'C', 'O']",True,True,False,False,False,False,True,0.069573240673408,6.0,33.0,27.0,11.9,6.640000000000001,8.0,49.0,87.0,38.0,81.9,7.559999999999997,87.0,12.0107,74.9216,62.9109,25.09242,15.346572,15.9994,54.8,3823.0,3768.2,747.6600000000001,970.004,54.8,6.0,16.0,10.0,14.7,1.8800000000000003,16.0,2.0,4.0,2.0,2.4,0.6399999999999999,2.0,66.0,139.0,73.0,79.6,19.76,66.0,1.66,3.44,1.78,3.0469999999999997,0.5502,3.44,1.0,2.0,1.0,1.9,0.18,2.0,0.0,4.0,4.0,3.3,0.98,4.0,0.0,10.0,10.0,1.5,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,11.0,6.7,1.66,6.0,0.0,1.0,1.0,0.1,0.18,0.0,0.0,4.0,4.0,2.1,0.5600000000000002,2.0,0.0,5.0,5.0,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,2.7,0.98,2.0,5.64,22.175,16.535,10.274,2.563400000000001,9.105,0.0,4.496,4.496,0.4496,0.80928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,67.3,77.41999999999999,12.0,4,0.7211102550927978,0.7020348951682878,0.7000249878036356,0.7000003642791349,0.7000000007434279,1.9,3.3,1.5,0.0,1.0,0.1,101.21168290034164,0.0115839355839662,0.0001357605699887,3.4537274837493896,5,1.039442074583949
BAT_00027,Li1-3FeAsCO7,FeAsCO7,LiFeAsCO7,Li3FeAsCO7,Li,3.79779738333333,194.4982613713611,609.0945884148789,738.6649880990375,2313.217834084519,0.053430317392643,0.067163670454545,0.048485174615382,2,4,As-C-Fe-O,"Fe,As,C,O",mp-770902,mp-770939,"mp-770902,mp-771027,mp-770939",More than one working ion per transition metal,"['Fe', 'As', 'C', 'O']",True,True,False,False,False,False,True,0.067163670454545,6.0,33.0,27.0,12.1,6.959999999999999,8.0,55.0,87.0,32.0,82.5,6.6,87.0,12.0107,74.9216,62.9109,25.477309999999996,15.962395999999998,15.9994,54.8,3823.0,3768.2,710.76,918.3439999999998,54.8,8.0,16.0,8.0,14.9,1.5599999999999998,16.0,2.0,4.0,2.0,2.4,0.6399999999999999,2.0,66.0,132.0,66.0,78.9,18.640000000000004,66.0,1.83,3.44,1.61,3.0639999999999996,0.5264000000000001,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.3,0.98,4.0,0.0,10.0,10.0,1.6,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,11.0,6.9,1.8400000000000003,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.1,0.5600000000000002,2.0,0.0,4.0,4.0,0.4,0.7200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.5,0.7,2.0,5.64,22.175,16.535,10.228,2.4898,9.105,0.0,4.496,4.496,0.4496,0.80928,0.0,0.0,2.1106628,2.1106628,0.21106628,0.3799193039999999,0.0,12.0,229.0,217.0,67.3,77.41999999999999,12.0,4,0.7211102550927978,0.7020348951682878,0.7000249878036356,0.7000003642791349,0.7000000007434279,2.0,3.3,1.6,0.0,2.0,0.2,194.49826136468872,0.050720315361283,0.0027100020313599,3.9225122928619385,5,-0.12471490952860842
BAT_00028,Li1-3MnAsCO7,MnAsCO7,LiMnAsCO7,Li3MnAsCO7,Li,3.629206873333335,195.14044608762313,589.8054189591389,708.205048206535,2140.5258804157547,0.016056593070193,0.04304795886363,0.060420901153847,2,4,As-C-Mn-O,"Mn,As,C,O",mp-770905,mp-771034,"mp-770905,mp-771151,mp-771034",More than one working ion per transition metal,"['Mn', 'As', 'C', 'O']",True,True,False,False,False,False,True,0.060420901153847,6.0,33.0,27.0,12.0,6.8,8.0,52.0,87.0,35.0,82.2,7.079999999999998,87.0,12.0107,74.9216,62.9109,25.3866145,15.817283200000002,15.9994,54.8,3823.0,3768.2,681.5600000000001,877.4639999999999,54.8,7.0,16.0,9.0,14.8,1.7199999999999995,16.0,2.0,4.0,2.0,2.4,0.6399999999999999,2.0,66.0,139.0,73.0,79.6,19.76,66.0,1.55,3.44,1.89,3.036,0.5655999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.3,0.98,4.0,0.0,10.0,10.0,1.5,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,11.0,6.8,1.6799999999999995,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.1,0.5600000000000002,2.0,0.0,5.0,5.0,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.6,0.8400000000000001,2.0,5.64,22.175,16.535,10.20375862069,2.4510137931039995,9.105,0.0,4.496,4.496,0.4496,0.80928,0.0,0.0,0.000310120689655,0.000310120689655,3.10120689655e-05,5.58217241379e-05,0.0,12.0,217.0,205.0,66.1,75.74,12.0,4,0.7211102550927978,0.7020348951682878,0.7000249878036356,0.7000003642791349,0.7000000007434279,2.0,3.3,1.5,0.0,2.0,0.2,195.14044608092863,0.0160565935558408,-4.856478691417364e-10,3.949666738510132,3,-0.3204598651767969
BAT_00029,Li1-2VAsCO7,VAsCO7,LiVAsCO7,Li2VAsCO7,Li,3.292125393333326,101.61637368404172,301.1517705734362,334.5338441836821,991.4293911521012,0.068261973663813,0.048049886136371,0.039084548958338,1,4,As-C-O-V,"V,As,C,O",mp-756295,mp-772133,"mp-756295,mp-772133",More than one working ion per transition metal,"['V', 'As', 'C', 'O']",True,True,False,False,False,False,True,0.048049886136371,6.0,33.0,27.0,11.8,6.480000000000001,8.0,46.0,87.0,41.0,81.6,8.040000000000003,87.0,12.0107,74.9216,62.9109,24.986960000000003,15.177836000000005,15.9994,54.8,3823.0,3768.2,747.96,970.4240000000002,54.8,5.0,16.0,11.0,14.6,2.04,16.0,2.0,4.0,2.0,2.4,0.6399999999999999,2.0,66.0,153.0,87.0,81.0,22.0,66.0,1.63,3.44,1.81,3.0439999999999996,0.5544000000000001,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.3,0.98,4.0,0.0,10.0,10.0,1.3,2.0799999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,11.0,6.6,1.6799999999999995,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.1,0.5600000000000002,2.0,0.0,7.0,7.0,0.7,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,2.8,1.12,2.0,5.64,22.175,16.535,10.456,2.8545999999999996,9.105,0.0,4.496,4.496,0.4496,0.80928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,67.3,77.41999999999999,12.0,4,0.7211102550927978,0.7020348951682878,0.7000249878036356,0.7000003642791349,0.7000000007434279,2.0,3.3,1.3,0.0,1.0,0.1,101.61637368055568,0.0639000309303653,0.0043619427334476,3.6733286380767822,2,-0.38120324474345635
BAT_00030,Li0-1CoAsO4,CoAsO4,CoAsO4,LiCoAsO4,Li,4.520946918333334,130.87082786709936,559.2803593714077,591.6600659454951,2528.4768171845253,0.047159454681764,0.110549962916667,0.002541872619049,1,3,As-Co-O,"Co,As,O",mp-1213775,mp-20046,"mp-1213775,mp-20046,mp-1285020",,"['Co', 'As', 'O']",True,True,False,False,False,False,True,0.110549962916667,8.0,33.0,25.0,15.333333333333334,9.777777777777777,8.0,58.0,87.0,29.0,81.66666666666667,7.888888888888886,87.0,15.9994,74.9216,58.9222,32.97539916666667,22.634665555555557,15.9994,54.8,1768.0,1713.2,512.8666666666667,610.7555555555555,54.8,9.0,16.0,7.0,14.666666666666666,1.8888888888888893,16.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,126.0,60.0,84.83333333333333,25.11111111111111,66.0,1.88,3.44,1.56,2.97,0.6266666666666666,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.1666666666666665,1.1111111111111112,4.0,0.0,10.0,10.0,2.8333333333333335,3.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0,8.0,2.6666666666666665,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8333333333333333,0.6111111111111112,2.0,0.0,3.0,3.0,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.3333333333333335,0.4444444444444445,2.0,9.105,22.175,13.07,11.473333333333334,3.5672222222222225,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.2580785333333333,0.4301308888888889,0.0,12.0,194.0,182.0,68.0,74.66666666666667,12.0,3,0.7071067811865476,0.6735400034370317,0.6669268801209055,0.6666782918025496,0.666666793823133,2.0,3.1666666666666665,2.8333333333333335,0.0,1.0,0.1666666666666666,130.87082786260976,0.047159453475786,1.2059779286310855e-09,4.575422763824463,2,-0.054475845491128716
