feature,importance
MagpieData mean Column,0.113327675
MagpieData range NpUnfilled,0.100383036
MagpieData maximum NdUnfilled,0.049149998
MagpieData maximum NpUnfilled,0.04402798
MagpieData mean NdUnfilled,0.043021493
MagpieData avg_dev NdUnfilled,0.037874267
MagpieData range NdUnfilled,0.033421174
MagpieData avg_dev Column,0.030972697
MagpieData maximum CovalentRadius,0.02623275
MagpieData maximum NUnfilled,0.02303228
MagpieData mode MendeleevNumber,0.016865883
MagpieData range CovalentRadius,0.016207559
MagpieData mean GSvolume_pa,0.013764457
MagpieData range GSvolume_pa,0.013359115
MagpieData minimum NValence,0.013335229
MagpieData avg_dev MendeleevNumber,0.010947073
MagpieData avg_dev CovalentRadius,0.010639876
MagpieData maximum NValence,0.010203661
MagpieData minimum SpaceGroupNumber,0.009920817
MagpieData avg_dev GSvolume_pa,0.009574383
MagpieData avg_dev NpUnfilled,0.009556981
MagpieData mean NUnfilled,0.009426404
MagpieData range SpaceGroupNumber,0.009374
MagpieData avg_dev NUnfilled,0.009097487
MagpieData mean Row,0.009026193
3-norm,0.00895948
MagpieData mean MendeleevNumber,0.008860795
MagpieData range MeltingT,0.008705089
5-norm,0.008490451
MagpieData avg_dev Electronegativity,0.008175072
MagpieData mean SpaceGroupNumber,0.00789024
0-norm,0.007618488
MagpieData range Electronegativity,0.007576347
MagpieData maximum NdValence,0.00744797
MagpieData range NValence,0.0073317657
7-norm,0.0072704004
2-norm,0.007149457
MagpieData mean Electronegativity,0.0069856127
MagpieData mean NdValence,0.00692923
MagpieData mean CovalentRadius,0.0069061825
MagpieData mean MeltingT,0.0064219353
MagpieData avg_dev NpValence,0.006337452
MagpieData mean GSbandgap,0.0062664067
MagpieData range NUnfilled,0.006181877
MagpieData avg_dev SpaceGroupNumber,0.006141148
MagpieData mean GSmagmom,0.0060313917
MagpieData range AtomicWeight,0.005997908
MagpieData mean NValence,0.0059818677
MagpieData avg_dev GSbandgap,0.005954788
MagpieData mean NpValence,0.005912758
MagpieData maximum MeltingT,0.0058591664
MagpieData range GSmagmom,0.005782998
MagpieData range MendeleevNumber,0.005759276
MagpieData avg_dev GSmagmom,0.0057190363
MagpieData mean NpUnfilled,0.005615079
MagpieData avg_dev NdValence,0.005585182
MagpieData mean AtomicWeight,0.0055031446
avg d valence electrons,0.0053499546
MagpieData maximum GSbandgap,0.0052533797
MagpieData avg_dev MeltingT,0.005213447
MagpieData avg_dev AtomicWeight,0.0050774417
MagpieData maximum GSvolume_pa,0.0049365535
MagpieData maximum SpaceGroupNumber,0.004623039
MagpieData avg_dev NValence,0.004607002
MagpieData minimum NUnfilled,0.0045560556
MagpieData avg_dev Row,0.0044386187
MagpieData maximum GSmagmom,0.0041140905
MagpieData minimum Electronegativity,0.0038484905
MagpieData range Number,0.0035518946
MagpieData minimum MendeleevNumber,0.0035495225
MagpieData mean NsValence,0.0035404076
MagpieData minimum NsValence,0.003484858
MagpieData minimum Column,0.0033588696
MagpieData avg_dev Number,0.0033554244
MagpieData avg_dev NsValence,0.003285163
MagpieData minimum AtomicWeight,0.0031648544
MagpieData maximum MendeleevNumber,0.002975206
10-norm,0.0026622603
avg p valence electrons,0.0025754469
MagpieData maximum AtomicWeight,0.0023244945
MagpieData range NdValence,0.002264488
MagpieData range Column,0.002161235
MagpieData maximum Number,0.0019969305
MagpieData mean Number,0.0019374107
MagpieData mean NfValence,0.0018886969
MagpieData mean NsUnfilled,0.0017864995
MagpieData avg_dev NsUnfilled,0.0017387813
avg s valence electrons,0.0016035892
MagpieData minimum Number,0.0014829123
MagpieData range GSbandgap,0.0011218468
MagpieData range NsValence,0.0009112366
MagpieData mode Number,0.0007962571
MagpieData minimum MeltingT,0.0003051652
MagpieData mode Column,6.805154e-05
MagpieData minimum GSbandgap,0.0
MagpieData mode GSmagmom,0.0
MagpieData minimum GSmagmom,0.0
MagpieData minimum GSvolume_pa,0.0
MagpieData mode NUnfilled,0.0
MagpieData mode GSbandgap,0.0
MagpieData mode SpaceGroupNumber,0.0
MagpieData mode GSvolume_pa,0.0
MagpieData mode NfValence,0.0
MagpieData mode NfUnfilled,0.0
MagpieData mode CovalentRadius,0.0
MagpieData range NpValence,0.0
MagpieData maximum NpValence,0.0
MagpieData minimum NpValence,0.0
MagpieData mode NsValence,0.0
MagpieData maximum NsValence,0.0
MagpieData mode Electronegativity,0.0
MagpieData maximum Electronegativity,0.0
MagpieData minimum CovalentRadius,0.0
MagpieData minimum NdValence,0.0
MagpieData mode Row,0.0
MagpieData range Row,0.0
MagpieData maximum Row,0.0
MagpieData minimum Row,0.0
MagpieData maximum Column,0.0
MagpieData mode MeltingT,0.0
MagpieData mode AtomicWeight,0.0
MagpieData mode NpValence,0.0
MagpieData mode NdValence,0.0
MagpieData avg_dev NfUnfilled,0.0
MagpieData minimum NpUnfilled,0.0
MagpieData mean NfUnfilled,0.0
MagpieData range NfUnfilled,0.0
MagpieData maximum NfUnfilled,0.0
MagpieData minimum NfUnfilled,0.0
MagpieData mode NdUnfilled,0.0
MagpieData minimum NdUnfilled,0.0
MagpieData mode NpUnfilled,0.0
MagpieData mode NsUnfilled,0.0
MagpieData minimum NfValence,0.0
MagpieData range NsUnfilled,0.0
MagpieData maximum NsUnfilled,0.0
MagpieData minimum NsUnfilled,0.0
MagpieData mode NValence,0.0
MagpieData avg_dev NfValence,0.0
MagpieData range NfValence,0.0
MagpieData maximum NfValence,0.0
avg f valence electrons,0.0
