battery_id,framework_formula,formula_charge,formula_discharge,id_charge,id_discharge,max_delta_volume,num_steps
BAT_00015,Al3Cr3(SbO8)2,Al3Cr3(SbO8)2,Li4Al3Cr3(SbO8)2,mp-756662,mp-770625,0.05445090810899,1
BAT_00017,Al2FeO6,LiAl2FeO6,Li3Al2FeO6,mp-755069,mp-770727,0.004728772679465,2
BAT_00020,AlVO4,LiAlVO4,Li2AlVO4,mp-769572,mp-755460,0.007314828338257,1
BAT_00022,MnBAsO7,Li2MnBAsO7,Li3MnBAsO7,mp-772182,mp-771037,0.016520414441825,1
BAT_00023,FeBAsO7,Li2FeBAsO7,Li3FeBAsO7,mp-1177952,mp-771029,0.04286264073662,1
BAT_00025,CrAsCO7,LiCrAsCO7,Li2CrAsCO7,mp-768612,mp-773176,0.011719696153955,1
BAT_00027,FeAsCO7,LiFeAsCO7,Li3FeAsCO7,mp-770902,mp-770939,0.053430317392643,2
BAT_00028,MnAsCO7,LiMnAsCO7,Li3MnAsCO7,mp-770905,mp-771034,0.016056593070193,2
BAT_00029,VAsCO7,LiVAsCO7,Li2VAsCO7,mp-756295,mp-772133,0.068261973663813,1
BAT_00030,CoAsO4,CoAsO4,LiCoAsO4,mp-1213775,mp-20046,0.047159454681764,1
BAT_00031,FeAs2O7,FeAs2O7,LiFeAs2O7,mp-25260,mp-18878,0.014209346040159,1
BAT_00033,Fe2(AsO4)3,Fe2(AsO4)3,Li3Fe2(AsO4)3,mp-543107,mp-542008,0.028936473617741,1
BAT_00037,NiAsO4,NiAsO4,LiNiAsO4,mp-510749,mp-22243,0.049245463950724,1
BAT_00038,MnAsO4,MnAsO4,LiMnAsO4,mp-510755,mp-20052,0.062570318125929,1
BAT_00039,VAs2O9,Li3VAs2O9,Li4VAs2O9,mp-1177474,mp-1177164,0.010062164969947,1
BAT_00040,VAsO5,VAsO5,LiVAsO5,mp-510763,mp-17387,0.010222359532899,1
BAT_00048,CrB3(HO3)3,CrB3(HO3)3,LiCrB3(HO3)3,mp-778931,mp-778018,0.028362813632403,1
BAT_00051,CoBO3,CoBO3,Li5Co4(BO3)4,mp-765572,mp-1177143,0.126054098114709,2
BAT_00052,Mn2Fe(BO3)4,Li3Mn2Fe(BO3)4,Li5Mn2Fe(BO3)4,mp-766489,mp-766508,0.020469121009584,1
BAT_00053,Cr(BO3)2,Li9Cr4(BO3)8,Li3Cr(BO3)2,mp-759279,mp-760261,0.005392560122567,1
BAT_00055,FeBO3,LiFe8(BO3)8,Li7Fe8(BO3)8,mp-764518,mp-849710,0.002838442240608,4
BAT_00056,FeBO3,LiFe4(BO3)4,LiFeBO3,mp-774381,mp-777049,0.005331217088064,2
BAT_00058,FeBO3,LiFe8(BO3)8,Li7Fe8(BO3)8,mp-764478,mp-761220,0.009691196834032,4
BAT_00059,FeBO3,LiFe8(BO3)8,Li3Fe4(BO3)4,mp-761206,mp-760195,0.010646791974403,3
BAT_00060,FeBO3,LiFe8(BO3)8,Li7Fe8(BO3)8,mp-849747,mp-1176890,0.007534745048858,4
BAT_00061,FeBO3,LiFe8(BO3)8,Li7Fe8(BO3)8,mp-775187,mp-764896,0.008460838951531,6
BAT_00062,FeBO4,Li3Fe2(BO4)2,Li5Fe2(BO4)2,mp-759625,mp-760269,0.045135133698451,2
BAT_00063,Fe(BO3)2,Li2Fe(BO3)2,Li3Fe(BO3)2,mp-766461,mp-770825,0.039108727628768,1
BAT_00064,Fe3(BO3)4,Li3Fe3(BO3)4,Li5Fe3(BO3)4,mp-766497,mp-766507,0.016365175440707,2
BAT_00065,FeBPO7,Li2FeBPO7,Li3FeBPO7,mp-777716,mp-756319,0.030709602871123,1
BAT_00067,MnBO3,LiMn2(BO3)2,LiMnBO3,mp-759375,mp-753767,0.029670025448125,1
BAT_00069,MnBO3,MnBO3,LiMnBO3,mp-25296,mp-19131,0.007151468219929,3
BAT_00070,MnBO3,LiMn2(BO3)2,Li3Mn4(BO3)4,mp-850898,mp-754552,0.014915362475103,1
BAT_00071,MnBO3,LiMn2(BO3)2,LiMnBO3,mp-849588,mp-831163,0.012613314042032,1
BAT_00072,MnBO3,LiMn4(BO3)4,Li3Mn4(BO3)4,mp-756059,mp-849269,0.024488272908526,2
BAT_00073,MnBO3,LiMn3(BO3)3,Li5Mn6(BO3)6,mp-781682,mp-780308,0.019850421208827,2
BAT_00074,MnBO3,LiMn3(BO3)3,Li5Mn6(BO3)6,mp-780510,mp-849333,0.012886091989992,2
BAT_00075,Mn3(BO3)4,Li3Mn3(BO3)4,Li5Mn3(BO3)4,mp-766488,mp-766500,0.022253191926054,2
BAT_00077,MnBO3,LiMn2(BO3)2,Li3Mn4(BO3)4,mp-1570353,mp-776517,0.015784861123141,1
